Representative Sequence ID	Sequence ID
1	1
1	2
1	3
1	4
1	5
1	6
1	7
1	8
1	9
1	10
1	11
1	12
1	13
1	14
1	15
1	16
1	17
1	18
1	19
1	20
1	21
1	22
1	23
1	24
1	25
1	26
1	27
1	28
1	29
1	30
1	31
1	32
1	33
1	34
1	35
1	36
37	37
37	38
37	39
37	40
37	41
37	42
37	43
37	44
37	45
37	46
37	47
37	48
37	49
37	50
37	51
37	52
37	53
37	54
37	55
37	56
37	57
37	58
37	59
37	60
37	61
37	62
37	63
37	64
37	65
37	66
37	67
37	68
37	69
37	70
37	71
37	72
37	73
37	74
37	75
37	76
37	77
37	78
37	79
37	80
37	81
37	82
37	83
37	84
37	85
37	86
37	87
37	88
37	89
37	90
37	91
37	92
37	93
37	94
37	95
37	96
37	97
37	98
37	99
37	100
37	101
37	102
37	103
37	104
37	105
37	106
37	107
37	108
37	109
37	110
37	111
37	112
37	113
37	114
37	115
37	116
37	117
37	118
37	119
37	120
37	121
37	122
37	123
37	124
37	125
37	126
37	127
37	128
37	129
37	130
37	131
37	132
37	133
37	134
37	135
37	136
37	137
37	138
37	139
37	140
37	141
37	142
37	143
37	144
37	145
37	146
37	147
37	148
37	149
37	150
37	151
37	152
37	153
37	154
37	155
37	156
37	157
37	158
37	159
37	160
37	161
37	162
37	163
37	164
37	165
37	166
37	167
37	168
37	169
37	170
37	171
37	172
37	173
37	174
37	175
37	176
37	177
37	178
37	179
37	180
37	181
37	182
37	183
37	184
37	185
37	186
37	187
37	188
37	189
37	190
37	191
37	192
37	193
37	194
37	195
37	196
37	197
37	198
37	199
37	200
37	201
37	202
37	203
37	204
37	205
37	206
37	207
37	208
37	209
37	210
37	211
37	212
37	213
37	214
37	215
37	216
37	217
37	218
37	219
37	220
37	221
37	222
37	223
37	224
37	225
37	226
37	227
37	228
37	229
37	230
37	231
37	232
37	233
37	234
37	235
37	236
37	237
37	238
37	239
37	240
37	241
37	242
37	243
37	244
37	245
37	246
37	247
37	248
37	249
37	250
37	251
37	252
37	253
37	254
37	255
37	256
37	257
37	258
37	259
37	260
37	261
37	262
37	263
37	264
37	265
37	266
37	267
37	268
37	269
37	270
37	271
37	272
37	273
37	274
37	275
37	276
37	277
37	278
37	279
37	280
37	281
37	282
37	283
37	284
37	285
37	286
37	287
37	288
37	289
37	290
37	291
37	292
37	293
37	294
37	295
37	296
37	297
37	298
37	299
37	300
37	301
37	302
37	303
37	304
37	305
37	306
37	307
37	308
37	309
37	310
37	311
37	312
37	313
37	314
37	315
37	316
37	317
37	318
37	319
37	320
37	321
37	322
37	323
37	324
37	325
37	326
37	327
37	328
37	329
37	330
37	331
37	332
37	333
37	334
37	335
37	336
37	337
37	338
37	339
37	340
37	341
37	342
37	343
37	344
37	345
37	346
37	347
37	348
37	349
37	350
37	351
37	352
37	353
37	354
37	355
37	356
37	357
37	358
37	359
37	360
37	361
37	362
37	363
37	364
37	365
37	366
37	367
37	368
37	369
37	370
37	371
37	372
37	373
37	374
37	375
37	376
37	377
37	378
37	379
37	380
37	381
37	382
37	383
37	384
37	385
37	386
37	387
37	388
37	389
37	390
37	391
37	392
37	393
37	394
37	395
37	396
37	397
37	398
37	399
37	400
37	401
37	402
37	403
37	404
37	405
37	406
37	407
37	408
37	409
37	410
37	411
37	412
37	413
37	414
37	415
37	416
37	417
37	418
37	419
37	420
37	421
37	422
37	423
37	424
37	425
37	426
37	427
37	428
37	429
37	430
37	431
37	432
37	433
37	434
37	435
37	436
37	437
37	438
37	439
37	440
37	441
37	442
37	443
37	444
37	445
37	446
37	447
37	448
37	449
37	450
37	451
37	452
37	453
37	454
37	455
37	456
37	457
37	458
37	459
37	460
37	461
37	462
37	463
37	464
37	465
37	466
37	467
37	468
37	469
37	470
37	471
37	472
37	473
37	474
37	475
37	476
37	477
37	478
37	479
37	480
37	481
37	482
37	483
37	484
37	485
37	486
37	487
37	488
37	489
37	490
37	491
37	492
37	493
37	494
37	495
37	496
37	497
37	498
37	499
37	500
37	501
37	502
37	503
37	504
37	505
37	506
37	507
37	508
37	509
37	510
37	511
37	512
37	513
37	514
37	515
37	516
37	517
37	518
37	519
37	520
37	521
37	522
37	523
37	524
37	525
37	526
37	527
37	528
37	529
37	530
37	531
37	532
37	533
37	534
37	535
37	536
37	537
37	538
37	539
37	540
37	541
37	542
37	543
37	544
37	545
37	546
37	547
37	548
37	549
37	550
37	551
37	552
37	553
37	554
37	555
37	556
37	557
37	558
37	559
37	560
37	561
37	562
37	563
37	564
37	565
37	566
37	567
37	568
37	569
37	570
37	571
37	572
37	573
37	574
37	575
37	576
37	577
37	578
37	579
37	580
37	581
37	582
37	583
37	584
37	585
37	586
37	587
37	588
37	589
37	590
37	591
37	592
37	593
37	594
37	595
37	596
37	597
37	598
37	599
37	600
37	601
37	602
37	603
37	604
37	605
37	606
37	607
37	608
37	609
37	610
37	611
37	612
37	613
37	614
37	615
37	616
37	617
37	618
37	619
37	620
37	621
37	622
37	623
37	624
37	625
37	626
37	627
37	628
37	629
37	630
37	631
37	632
37	633
37	634
37	635
37	636
637	637
637	638
637	639
637	640
641	641
641	642
643	643
643	644
643	645
643	646
643	647
643	648
643	649
643	650
643	651
643	652
643	653
643	654
643	655
643	656
643	657
643	658
643	659
643	660
643	661
643	662
643	663
643	664
643	665
643	666
643	667
643	668
643	669
643	670
643	671
643	672
643	673
643	674
643	675
643	676
643	677
643	678
643	679
643	680
643	681
643	682
643	683
643	684
643	685
643	686
643	687
643	688
643	689
643	690
643	691
643	692
643	693
643	694
643	695
643	696
643	697
643	698
643	699
643	700
643	701
643	702
643	703
643	704
643	705
643	706
643	707
643	708
643	709
643	710
643	711
643	712
643	713
643	714
643	715
643	716
643	717
643	718
643	719
643	720
643	721
643	722
643	723
643	724
643	725
643	726
643	727
643	728
643	729
643	730
643	731
643	732
643	733
643	734
643	735
643	736
643	737
643	738
643	739
643	740
643	741
643	742
643	743
643	744
643	745
643	746
643	747
643	748
643	749
643	750
643	751
643	752
643	753
643	754
643	755
643	756
643	757
643	758
643	759
643	760
643	761
643	762
643	763
643	764
643	765
643	766
643	767
643	768
643	769
643	770
643	771
643	772
643	773
643	774
643	775
643	776
643	777
643	778
643	779
643	780
643	781
643	782
643	783
643	784
643	785
643	786
643	787
643	788
643	789
643	790
643	791
643	792
643	793
643	794
643	795
643	796
643	797
643	798
643	799
643	800
643	801
643	802
643	803
643	804
643	805
643	806
643	807
643	808
643	809
643	810
643	811
643	812
643	813
643	814
643	815
643	816
643	817
643	818
643	819
643	820
643	821
643	822
643	823
643	824
643	825
643	826
643	827
643	828
643	829
643	830
643	831
643	832
643	833
643	834
643	835
643	836
643	837
643	838
643	839
643	840
643	841
643	842
643	843
643	844
643	845
643	846
643	847
643	848
643	849
643	850
643	851
643	852
643	853
643	854
643	855
643	856
643	857
643	858
643	859
643	860
643	861
643	862
643	863
643	864
643	865
643	866
643	867
643	868
643	869
643	870
643	871
643	872
643	873
643	874
643	875
643	876
643	877
643	878
643	879
643	880
643	881
643	882
643	883
643	884
643	885
643	886
643	887
643	888
643	889
643	890
643	891
643	892
643	893
643	894
643	895
643	896
643	897
643	898
643	899
643	900
643	901
643	902
643	903
643	904
643	905
643	906
643	907
643	908
643	909
643	910
643	911
643	912
643	913
643	914
643	915
643	916
643	917
643	918
643	919
643	920
643	921
643	922
643	923
643	924
643	925
643	926
643	927
643	928
643	929
643	930
643	931
643	932
643	933
643	934
643	935
643	936
643	937
643	938
643	939
643	940
643	941
643	942
643	943
643	944
643	945
643	946
643	947
643	948
643	949
643	950
643	951
643	952
643	953
643	954
643	955
643	956
643	957
643	958
643	959
643	960
643	961
643	962
643	963
643	964
643	965
643	966
643	967
643	968
643	969
643	970
643	971
643	972
643	973
643	974
643	975
643	976
643	977
643	978
643	979
643	980
643	981
643	982
643	983
643	984
643	985
643	986
643	987
643	988
643	989
643	990
643	991
643	992
643	993
643	994
643	995
643	996
643	997
643	998
643	999
643	1000
643	1001
643	1002
643	1003
643	1004
643	1005
643	1006
643	1007
643	1008
643	1009
643	1010
643	1011
643	1012
643	1013
643	1014
643	1015
643	1016
643	1017
643	1018
643	1019
643	1020
643	1021
643	1022
643	1023
643	1024
643	1025
643	1026
643	1027
643	1028
643	1029
643	1030
643	1031
643	1032
643	1033
643	1034
643	1035
643	1036
643	1037
643	1038
643	1039
643	1040
643	1041
643	1042
643	1043
643	1044
643	1045
643	1046
643	1047
643	1048
643	1049
643	1050
643	1051
643	1052
643	1053
643	1054
643	1055
643	1056
643	1057
643	1058
643	1059
643	1060
643	1061
643	1062
643	1063
643	1064
643	1065
643	1066
643	1067
643	1068
643	1069
643	1070
643	1071
643	1072
643	1073
643	1074
643	1075
643	1076
643	1077
643	1078
643	1079
643	1080
643	1081
643	1082
643	1083
643	1084
643	1085
643	1086
643	1087
643	1088
643	1089
643	1090
643	1091
643	1092
643	1093
643	1094
643	1095
643	1096
643	1097
643	1098
643	1099
643	1100
643	1101
643	1102
643	1103
643	1104
643	1105
643	1106
643	1107
643	1108
643	1109
643	1110
643	1111
643	1112
643	1113
643	1114
643	1115
643	1116
643	1117
643	1118
643	1119
643	1120
643	1121
643	1122
643	1123
643	1124
643	1125
643	1126
643	1127
643	1128
643	1129
643	1130
643	1131
643	1132
643	1133
643	1134
643	1135
643	1136
643	1137
643	1138
643	1139
643	1140
643	1141
643	1142
643	1143
643	1144
643	1145
643	1146
643	1147
643	1148
643	1149
643	1150
643	1151
643	1152
643	1153
643	1154
643	1155
643	1156
643	1157
643	1158
643	1159
643	1160
643	1161
643	1162
643	1163
643	1164
643	1165
643	1166
643	1167
643	1168
643	1169
643	1170
643	1171
643	1172
643	1173
643	1174
643	1175
643	1176
643	1177
643	1178
643	1179
643	1180
643	1181
643	1182
643	1183
643	1184
643	1185
643	1186
643	1187
643	1188
643	1189
643	1190
643	1191
643	1192
643	1193
643	1194
643	1195
643	1196
643	1197
643	1198
643	1199
643	1200
643	1201
643	1202
643	1203
643	1204
643	1205
643	1206
643	1207
643	1208
643	1209
643	1210
643	1211
643	1212
643	1213
643	1214
643	1215
643	1216
643	1217
643	1218
643	1219
643	1220
643	1221
643	1222
643	1223
643	1224
643	1225
643	1226
643	1227
643	1228
643	1229
643	1230
643	1231
643	1232
643	1233
643	1234
643	1235
643	1236
643	1237
643	1238
643	1239
643	1240
643	1241
643	1242
643	1243
643	1244
643	1245
643	1246
643	1247
643	1248
643	1249
643	1250
643	1251
643	1252
643	1253
643	1254
643	1255
643	1256
643	1257
643	1258
643	1259
643	1260
643	1261
643	1262
643	1263
643	1264
643	1265
643	1266
643	1267
643	1268
643	1269
643	1270
643	1271
643	1272
643	1273
643	1274
643	1275
643	1276
643	1277
643	1278
643	1279
643	1280
643	1281
643	1282
643	1283
643	1284
643	1285
643	1286
643	1287
643	1288
643	1289
643	1290
643	1291
643	1292
643	1293
643	1294
643	1295
643	1296
643	1297
643	1298
643	1299
643	1300
643	1301
643	1302
643	1303
643	1304
643	1305
643	1306
643	1307
643	1308
643	1309
643	1310
643	1311
643	1312
643	1313
643	1314
643	1315
643	1316
643	1317
643	1318
643	1319
643	1320
643	1321
643	1322
643	1323
643	1324
643	1325
643	1326
643	1327
643	1328
643	1329
643	1330
643	1331
643	1332
643	1333
643	1334
643	1335
643	1336
643	1337
643	1338
643	1339
643	1340
643	1341
643	1342
643	1343
643	1344
643	1345
643	1346
643	1347
643	1348
643	1349
643	1350
643	1351
643	1352
643	1353
643	1354
643	1355
643	1356
643	1357
643	1358
643	1359
643	1360
643	1361
643	1362
643	1363
643	1364
643	1365
643	1366
643	1367
643	1368
643	1369
643	1370
643	1371
643	1372
643	1373
643	1374
643	1375
643	1376
643	1377
643	1378
643	1379
643	1380
643	1381
643	1382
643	1383
643	1384
643	1385
643	1386
643	1387
643	1388
643	1389
643	1390
643	1391
643	1392
643	1393
643	1394
643	1395
643	1396
643	1397
643	1398
643	1399
643	1400
643	1401
643	1402
643	1403
643	1404
643	1405
643	1406
643	1407
643	1408
643	1409
643	1410
643	1411
643	1412
643	1413
643	1414
643	1415
643	1416
643	1417
643	1418
643	1419
643	1420
643	1421
643	1422
643	1423
643	1424
643	1425
643	1426
643	1427
643	1428
643	1429
643	1430
643	1431
643	1432
643	1433
643	1434
643	1435
643	1436
643	1437
643	1438
643	1439
643	1440
643	1441
643	1442
643	1443
643	1444
643	1445
643	1446
643	1447
643	1448
643	1449
643	1450
643	1451
643	1452
643	1453
643	1454
643	1455
643	1456
643	1457
643	1458
643	1459
643	1460
643	1461
643	1462
643	1463
643	1464
643	1465
643	1466
643	1467
643	1468
643	1469
643	1470
643	1471
643	1472
643	1473
643	1474
643	1475
643	1476
643	1477
643	1478
643	1479
643	1480
643	1481
643	1482
643	1483
643	1484
643	1485
643	1486
643	1487
643	1488
643	1489
643	1490
643	1491
643	1492
643	1493
643	1494
643	1495
643	1496
643	1497
643	1498
643	1499
643	1500
643	1501
643	1502
643	1503
643	1504
643	1505
643	1506
