Representative Sequence ID	Sequence ID
1	1
1	2
1	3
1	4
1	5
1	6
1	7
1	8
1	9
1	10
1	11
1	12
1	13
1	14
1	15
1	16
1	17
1	18
1	19
1	20
1	21
1	22
1	23
1	24
1	25
1	26
1	27
1	28
1	29
1	30
1	31
1	32
1	33
1	34
1	35
1	36
37	37
37	38
37	39
37	40
41	41
41	42
43	43
43	44
43	45
43	46
43	47
43	48
49	49
49	50
49	51
49	52
49	53
49	54
49	55
49	56
49	57
49	58
49	59
49	60
49	61
49	62
49	63
49	64
49	65
49	66
49	67
49	68
49	69
49	70
49	71
49	72
49	73
49	74
49	75
49	76
49	77
49	78
49	79
49	80
49	81
49	82
49	83
49	84
49	85
49	86
49	87
49	88
49	89
49	90
49	91
49	92
49	93
49	94
49	95
49	96
49	97
49	98
49	99
49	100
49	101
49	102
49	103
49	104
49	105
49	106
49	107
49	108
49	109
49	110
49	111
49	112
49	113
49	114
49	115
49	116
49	117
49	118
49	119
49	120
49	121
49	122
49	123
49	124
49	125
49	126
49	127
49	128
49	129
49	130
49	131
49	132
49	133
49	134
49	135
49	136
49	137
49	138
49	139
49	140
49	141
49	142
49	143
49	144
49	145
49	146
49	147
49	148
49	149
49	150
49	151
49	152
49	153
49	154
49	155
49	156
49	157
49	158
49	159
49	160
49	161
49	162
49	163
49	164
49	165
49	166
49	167
49	168
49	169
49	170
49	171
49	172
49	173
49	174
49	175
49	176
49	177
49	178
49	179
49	180
49	181
49	182
49	183
49	184
49	185
49	186
49	187
49	188
49	189
49	190
49	191
49	192
49	193
49	194
49	195
49	196
49	197
49	198
49	199
49	200
49	201
49	202
49	203
49	204
49	205
49	206
49	207
49	208
49	209
49	210
49	211
49	212
49	213
49	214
49	215
49	216
49	217
49	218
49	219
49	220
49	221
49	222
49	223
49	224
49	225
49	226
49	227
49	228
49	229
49	230
49	231
49	232
49	233
49	234
49	235
49	236
49	237
49	238
49	239
49	240
49	241
49	242
49	243
49	244
49	245
49	246
49	247
49	248
49	249
49	250
49	251
49	252
49	253
49	254
49	255
49	256
49	257
49	258
49	259
49	260
49	261
49	262
49	263
49	264
49	265
49	266
49	267
49	268
49	269
49	270
49	271
49	272
49	273
49	274
49	275
49	276
49	277
49	278
49	279
49	280
49	281
49	282
49	283
49	284
49	285
49	286
49	287
49	288
49	289
49	290
49	291
49	292
49	293
49	294
49	295
49	296
49	297
49	298
49	299
49	300
49	301
49	302
49	303
49	304
49	305
49	306
49	307
49	308
49	309
49	310
49	311
49	312
49	313
49	314
49	315
49	316
49	317
49	318
49	319
49	320
49	321
49	322
49	323
49	324
49	325
49	326
49	327
49	328
49	329
49	330
49	331
49	332
49	333
49	334
49	335
49	336
49	337
49	338
49	339
49	340
49	341
49	342
49	343
49	344
49	345
49	346
49	347
49	348
49	349
49	350
49	351
49	352
49	353
49	354
49	355
49	356
49	357
49	358
49	359
49	360
49	361
49	362
49	363
49	364
49	365
49	366
49	367
49	368
49	369
49	370
49	371
49	372
49	373
49	374
49	375
49	376
49	377
49	378
49	379
49	380
49	381
49	382
49	383
49	384
49	385
49	386
49	387
49	388
49	389
49	390
49	391
49	392
49	393
49	394
49	395
49	396
49	397
49	398
49	399
49	400
49	401
49	402
49	403
49	404
49	405
49	406
49	407
49	408
49	409
49	410
49	411
49	412
49	413
49	414
49	415
49	416
49	417
49	418
49	419
49	420
49	421
49	422
49	423
49	424
49	425
49	426
49	427
49	428
49	429
49	430
49	431
49	432
49	433
49	434
49	435
49	436
49	437
49	438
49	439
49	440
49	441
49	442
49	443
49	444
49	445
49	446
49	447
49	448
49	449
49	450
49	451
49	452
49	453
49	454
49	455
49	456
49	457
49	458
49	459
49	460
49	461
49	462
49	463
49	464
49	465
49	466
49	467
49	468
49	469
49	470
49	471
49	472
49	473
49	474
49	475
49	476
49	477
49	478
49	479
49	480
49	481
49	482
49	483
49	484
49	485
49	486
49	487
49	488
49	489
49	490
49	491
49	492
49	493
49	494
49	495
49	496
49	497
49	498
49	499
49	500
49	501
49	502
49	503
49	504
49	505
49	506
49	507
49	508
49	509
49	510
49	511
49	512
49	513
49	514
49	515
49	516
49	517
49	518
49	519
49	520
49	521
49	522
49	523
49	524
49	525
49	526
49	527
49	528
49	529
49	530
49	531
49	532
49	533
49	534
49	535
49	536
49	537
49	538
49	539
49	540
49	541
49	542
49	543
49	544
49	545
49	546
49	547
49	548
49	549
49	550
49	551
49	552
49	553
49	554
49	555
49	556
49	557
49	558
49	559
49	560
49	561
49	562
49	563
49	564
49	565
49	566
49	567
49	568
49	569
49	570
49	571
49	572
49	573
49	574
49	575
49	576
49	577
49	578
49	579
49	580
49	581
49	582
49	583
49	584
49	585
49	586
49	587
49	588
49	589
49	590
49	591
49	592
49	593
49	594
49	595
49	596
49	597
49	598
49	599
49	600
49	601
49	602
49	603
49	604
49	605
49	606
49	607
49	608
49	609
49	610
49	611
49	612
49	613
49	614
49	615
49	616
49	617
49	618
49	619
49	620
49	621
49	622
49	623
49	624
49	625
49	626
49	627
49	628
49	629
49	630
49	631
49	632
49	633
49	634
49	635
49	636
49	637
49	638
49	639
49	640
49	641
49	642
49	643
49	644
49	645
49	646
49	647
49	648
49	649
49	650
49	651
49	652
49	653
49	654
49	655
49	656
49	657
49	658
49	659
49	660
49	661
49	662
49	663
49	664
49	665
49	666
49	667
49	668
49	669
49	670
49	671
49	672
49	673
49	674
49	675
49	676
49	677
49	678
49	679
49	680
49	681
49	682
49	683
49	684
49	685
49	686
49	687
49	688
49	689
49	690
49	691
49	692
49	693
49	694
49	695
49	696
49	697
49	698
49	699
49	700
49	701
49	702
49	703
49	704
49	705
49	706
49	707
49	708
49	709
49	710
49	711
49	712
49	713
49	714
49	715
49	716
49	717
49	718
49	719
49	720
49	721
49	722
49	723
49	724
49	725
49	726
49	727
49	728
49	729
49	730
49	731
49	732
49	733
49	734
49	735
49	736
49	737
49	738
49	739
49	740
49	741
49	742
49	743
49	744
49	745
49	746
49	747
49	748
49	749
49	750
49	751
49	752
49	753
49	754
49	755
49	756
49	757
49	758
49	759
49	760
49	761
49	762
49	763
49	764
49	765
49	766
49	767
49	768
49	769
49	770
49	771
49	772
49	773
49	774
49	775
49	776
49	777
49	778
49	779
49	780
49	781
49	782
49	783
49	784
49	785
49	786
49	787
49	788
49	789
49	790
49	791
49	792
49	793
49	794
49	795
49	796
49	797
49	798
49	799
49	800
49	801
49	802
49	803
49	804
49	805
49	806
49	807
49	808
49	809
49	810
49	811
49	812
49	813
49	814
49	815
49	816
49	817
49	818
49	819
49	820
49	821
49	822
49	823
49	824
49	825
49	826
49	827
49	828
49	829
49	830
49	831
49	832
49	833
49	834
49	835
49	836
49	837
49	838
49	839
49	840
49	841
49	842
49	843
49	844
49	845
49	846
49	847
49	848
49	849
49	850
49	851
49	852
49	853
49	854
49	855
49	856
49	857
49	858
49	859
49	860
49	861
49	862
49	863
49	864
49	865
49	866
49	867
49	868
49	869
49	870
49	871
49	872
49	873
49	874
49	875
49	876
49	877
49	878
49	879
49	880
49	881
49	882
49	883
49	884
49	885
49	886
49	887
49	888
49	889
49	890
49	891
49	892
49	893
49	894
49	895
49	896
49	897
49	898
49	899
49	900
49	901
49	902
49	903
49	904
49	905
49	906
49	907
49	908
49	909
49	910
49	911
49	912
49	913
49	914
49	915
49	916
49	917
49	918
49	919
49	920
49	921
49	922
49	923
49	924
49	925
49	926
49	927
49	928
49	929
49	930
49	931
49	932
49	933
49	934
49	935
49	936
49	937
49	938
49	939
49	940
49	941
49	942
49	943
49	944
49	945
49	946
49	947
49	948
49	949
49	950
49	951
49	952
49	953
49	954
49	955
49	956
49	957
49	958
49	959
49	960
49	961
49	962
49	963
49	964
49	965
49	966
967	967
967	968
967	969
967	970
967	971
967	972
967	973
967	974
967	975
967	976
967	977
967	978
967	979
967	980
967	981
967	982
967	983
967	984
967	985
967	986
967	987
967	988
967	989
967	990
967	991
967	992
967	993
967	994
967	995
967	996
967	997
967	998
999	999
999	1000
999	1001
999	1002
999	1003
999	1004
999	1005
999	1006
999	1007
999	1008
999	1009
999	1010
999	1011
999	1012
999	1013
999	1014
999	1015
999	1016
999	1017
999	1018
999	1019
999	1020
999	1021
999	1022
999	1023
999	1024
999	1025
999	1026
999	1027
999	1028
999	1029
999	1030
999	1031
999	1032
999	1033
999	1034
999	1035
999	1036
999	1037
999	1038
999	1039
999	1040
999	1041
999	1042
999	1043
999	1044
999	1045
999	1046
999	1047
999	1048
999	1049
999	1050
999	1051
999	1052
999	1053
999	1054
999	1055
999	1056
999	1057
999	1058
999	1059
999	1060
999	1061
999	1062
999	1063
999	1064
999	1065
999	1066
999	1067
999	1068
999	1069
999	1070
999	1071
999	1072
999	1073
999	1074
999	1075
999	1076
999	1077
999	1078
999	1079
999	1080
999	1081
999	1082
999	1083
999	1084
999	1085
999	1086
999	1087
999	1088
999	1089
999	1090
999	1091
999	1092
999	1093
999	1094
999	1095
999	1096
999	1097
999	1098
999	1099
999	1100
999	1101
999	1102
999	1103
999	1104
999	1105
999	1106
999	1107
999	1108
999	1109
999	1110
999	1111
999	1112
999	1113
999	1114
999	1115
999	1116
999	1117
999	1118
999	1119
999	1120
999	1121
999	1122
999	1123
999	1124
999	1125
999	1126
999	1127
999	1128
999	1129
999	1130
999	1131
999	1132
999	1133
999	1134
999	1135
999	1136
999	1137
999	1138
999	1139
999	1140
999	1141
999	1142
999	1143
999	1144
999	1145
999	1146
999	1147
999	1148
999	1149
999	1150
999	1151
999	1152
999	1153
999	1154
999	1155
999	1156
999	1157
999	1158
999	1159
999	1160
999	1161
999	1162
999	1163
999	1164
999	1165
999	1166
999	1167
999	1168
999	1169
999	1170
999	1171
999	1172
999	1173
999	1174
999	1175
999	1176
999	1177
999	1178
999	1179
999	1180
999	1181
999	1182
999	1183
999	1184
999	1185
999	1186
999	1187
999	1188
999	1189
999	1190
999	1191
999	1192
999	1193
999	1194
999	1195
999	1196
999	1197
999	1198
999	1199
999	1200
999	1201
999	1202
999	1203
999	1204
999	1205
999	1206
999	1207
999	1208
999	1209
999	1210
999	1211
999	1212
999	1213
999	1214
999	1215
999	1216
999	1217
999	1218
999	1219
999	1220
999	1221
999	1222
999	1223
999	1224
999	1225
999	1226
999	1227
999	1228
999	1229
999	1230
999	1231
999	1232
999	1233
999	1234
999	1235
999	1236
999	1237
999	1238
999	1239
999	1240
999	1241
999	1242
999	1243
999	1244
999	1245
999	1246
999	1247
999	1248
999	1249
999	1250
999	1251
999	1252
999	1253
999	1254
999	1255
999	1256
999	1257
999	1258
999	1259
999	1260
999	1261
999	1262
999	1263
999	1264
999	1265
999	1266
999	1267
999	1268
999	1269
999	1270
999	1271
999	1272
999	1273
999	1274
999	1275
999	1276
999	1277
999	1278
999	1279
999	1280
999	1281
999	1282
999	1283
999	1284
999	1285
999	1286
999	1287
999	1288
999	1289
999	1290
999	1291
999	1292
999	1293
999	1294
999	1295
999	1296
999	1297
999	1298
999	1299
999	1300
999	1301
999	1302
999	1303
999	1304
999	1305
999	1306
999	1307
999	1308
999	1309
999	1310
999	1311
999	1312
999	1313
999	1314
999	1315
999	1316
999	1317
999	1318
999	1319
999	1320
999	1321
999	1322
999	1323
999	1324
999	1325
999	1326
999	1327
999	1328
999	1329
999	1330
999	1331
999	1332
999	1333
999	1334
999	1335
999	1336
999	1337
999	1338
999	1339
999	1340
999	1341
999	1342
999	1343
999	1344
999	1345
999	1346
999	1347
999	1348
999	1349
999	1350
999	1351
999	1352
999	1353
999	1354
999	1355
999	1356
999	1357
999	1358
999	1359
999	1360
999	1361
999	1362
999	1363
999	1364
999	1365
999	1366
999	1367
999	1368
999	1369
1370	1370
1370	1371
1370	1372
1370	1373
1370	1374
1370	1375
1370	1376
1370	1377
1370	1378
1370	1379
1370	1380
1370	1381
1370	1382
1370	1383
1370	1384
1370	1385
1370	1386
1370	1387
1370	1388
1370	1389
1370	1390
1370	1391
1370	1392
1370	1393
1370	1394
1370	1395
1370	1396
1370	1397
1370	1398
1370	1399
1370	1400
1370	1401
1370	1402
1370	1403
1370	1404
1370	1405
1370	1406
1370	1407
1370	1408
1370	1409
1370	1410
1370	1411
1370	1412
1370	1413
1370	1414
1370	1415
1370	1416
1370	1417
1370	1418
1370	1419
1370	1420
1370	1421
1370	1422
1370	1423
1370	1424
1370	1425
1370	1426
1370	1427
1370	1428
1370	1429
1370	1430
1370	1431
1370	1432
1370	1433
1370	1434
1370	1435
1370	1436
1370	1437
1370	1438
1370	1439
1370	1440
1370	1441
1370	1442
1370	1443
1370	1444
1370	1445
1370	1446
1370	1447
1370	1448
1370	1449
1370	1450
1370	1451
1370	1452
1370	1453
1370	1454
1370	1455
1370	1456
1370	1457
1370	1458
1370	1459
1370	1460
1370	1461
1370	1462
1370	1463
1370	1464
1370	1465
1370	1466
1370	1467
1370	1468
1370	1469
1370	1470
1370	1471
1370	1472
1370	1473
1370	1474
1370	1475
1370	1476
1370	1477
1370	1478
1370	1479
1370	1480
1370	1481
1370	1482
1370	1483
