Sequence ID	Cascade-Cluster-ID	Single-Step-Cluster-ID				Single-Step-Sequence ID	Single-Step-Cluster ID
1	1	1				1	1
2	1	1				2	1
3	1	1				3	1
4	1	1				4	1
5	5	5				5	5
6	6	6				6	6
7	6	6				7	6
8	8	8				8	8
9	9	9				9	9
10	9	9				10	9
11	9	9				11	9
12	12	47925				12	47925
13	12	47925				13	47925
14	12	47925				14	47925
15	12	47925				15	47925
16	12	47925				16	47925
17	12	12				17	12
18	18	18				18	18
19	18	18				19	18
20	18	18				20	18
21	18	18				21	18
22	18	18				22	18
23	23	23				23	23
24	23	23				24	23
25	25	13802				25	13802
26	25	13802				26	13802
27	27	27				27	27
28	27	27				28	27
29	27	27				29	27
30	27	27				30	27
31	31	13802				31	13802
32	31	13802				32	13802
33	33	13802				33	13802
34	33	13802				34	13802
35	35	35				35	35
36	36	13802				36	13802
37	37	47925				37	47925
38	38	47925				38	47925
39	39	47925				39	47925
40	40	13802				40	13802
41	40	13802				41	13802
42	40	13802				42	13802
43	40	13802				43	13802
44	44	44				44	44
45	45	45				45	45
46	46	46				46	46
47	47	47				47	47
48	48	47925				48	47925
49	48	47925				49	47925
50	50	13802				50	13802
51	51	13802				51	13802
52	52	47925				52	47925
53	53	13802				53	13802
54	54	54				54	54
55	55	13802				55	13802
56	55	13802				56	13802
57	57	734				57	734
58	57	47925				58	47925
59	57	47925				59	47925
60	57	734				60	734
61	57	47925				61	47925
62	57	734				62	734
63	57	47925				63	47925
64	57	47925				64	47925
65	57	47925				65	47925
66	66	66				66	66
67	67	47925				67	47925
68	67	47925				68	47925
69	67	47925				69	47925
70	67	47925				70	47925
71	67	67				71	67
72	72	13802				72	13802
73	73	13802				73	13802
74	74	13802				74	13802
75	75	13802				75	13802
76	76	13802				76	13802
77	77	13802				77	13802
78	77	13802				78	13802
79	79	13802				79	13802
80	79	13802				80	13802
81	81	47925				81	47925
82	82	13802				82	13802
83	83	13802				83	13802
84	84	13802				84	13802
85	85	13802				85	13802
86	86	86				86	86
87	86	86				87	86
88	86	86				88	86
89	86	86				89	86
90	86	86				90	86
91	86	86				91	86
92	86	86				92	86
93	86	86				93	86
94	86	47925				94	47925
95	86	47625				95	47625
96	86	86				96	86
97	86	86				97	86
98	86	86				98	86
99	86	13802				99	13802
100	86	86				100	86
101	86	47925				101	47925
102	86	47925				102	47925
103	86	47925				103	47925
104	86	47925				104	47925
105	86	47925				105	47925
106	86	47925				106	47925
107	86	47925				107	47925
108	86	47925				108	47925
109	86	47925				109	47925
110	86	47925				110	47925
111	86	47925				111	47925
112	86	47925				112	47925
113	86	47925				113	47925
114	86	47925				114	47925
115	86	47925				115	47925
116	86	47925				116	47925
117	86	47925				117	47925
118	86	47925				118	47925
119	86	47925				119	47925
120	86	47925				120	47925
121	86	47925				121	47925
122	86	47925				122	47925
123	86	47925				123	47925
124	86	47925				124	47925
125	86	47925				125	47925
126	86	47925				126	47925
127	86	47925				127	47925
128	86	47925				128	47925
129	86	47925				129	47925
130	86	47925				130	47925
131	86	47925				131	47925
132	86	47925				132	47925
133	86	47925				133	47925
134	86	47925				134	47925
135	86	47925				135	47925
136	86	47925				136	47925
137	86	47925				137	47925
138	86	47925				138	47925
139	86	47925				139	47925
140	86	47925				140	47925
141	86	47925				141	47925
142	86	47925				142	47925
143	86	47925				143	47925
144	86	13802				144	13802
145	86	47925				145	47925
146	86	86				146	86
147	86	47925				147	47925
148	86	47925				148	47925
149	86	47925				149	47925
150	86	47925				150	47925
151	86	47925				151	47925
152	86	47925				152	47925
153	86	47925				153	47925
154	86	47925				154	47925
155	86	47925				155	47925
156	86	47925				156	47925
157	86	47925				157	47925
158	86	47925				158	47925
159	86	47925				159	47925
160	86	47925				160	47925
161	86	47925				161	47925
162	86	47925				162	47925
163	86	86				163	86
164	86	47925				164	47925
165	86	47925				165	47925
166	166	13802				166	13802
167	166	13802				167	13802
168	168	13802				168	13802
169	169	169				169	169
170	170	734				170	734
171	171	13802				171	13802
172	171	13802				172	13802
173	171	13802				173	13802
174	171	13802				174	13802
175	171	13802				175	13802
176	171	13802				176	13802
177	171	13802				177	13802
178	171	13802				178	13802
179	171	13802				179	13802
180	171	171				180	171
181	171	13802				181	13802
182	171	13802				182	13802
183	171	13802				183	13802
184	171	13802				184	13802
185	171	13802				185	13802
186	171	13802				186	13802
187	171	13802				187	13802
188	171	13802				188	13802
189	171	13802				189	13802
190	171	13802				190	13802
191	171	13802				191	13802
192	171	13802				192	13802
193	171	13802				193	13802
194	171	13802				194	13802
195	171	13802				195	13802
196	171	13802				196	13802
197	171	13802				197	13802
198	171	13802				198	13802
199	171	13802				199	13802
200	171	13802				200	13802
201	171	13802				201	13802
202	171	13802				202	13802
203	171	13802				203	13802
204	171	13802				204	13802
205	171	13802				205	13802
206	171	13802				206	13802
207	171	13802				207	13802
208	171	13802				208	13802
209	171	13802				209	13802
210	171	13802				210	13802
211	171	13802				211	13802
212	171	13802				212	13802
213	171	13802				213	13802
214	171	13802				214	13802
215	171	13802				215	13802
216	171	13802				216	13802
217	171	13802				217	13802
218	171	13802				218	13802
219	171	13802				219	13802
220	171	13802				220	13802
221	171	13802				221	13802
222	171	13802				222	13802
223	171	13802				223	13802
224	171	13802				224	13802
225	171	13802				225	13802
226	171	13802				226	13802
227	171	13802				227	13802
228	171	13802				228	13802
229	171	13802				229	13802
230	171	13802				230	13802
231	171	13802				231	13802
232	171	13802				232	13802
233	171	13802				233	13802
234	171	13802				234	13802
235	171	13802				235	13802
236	171	13802				236	13802
237	171	13802				237	13802
238	171	13802				238	13802
239	171	13802				239	13802
240	171	13802				240	13802
241	171	13802				241	13802
242	171	13802				242	13802
243	171	13802				243	13802
244	171	13802				244	13802
245	171	13802				245	13802
246	171	13802				246	13802
247	171	13802				247	13802
248	171	13802				248	13802
249	171	13802				249	13802
250	171	13802				250	13802
251	171	13802				251	13802
252	171	13802				252	13802
253	171	13802				253	13802
254	171	13802				254	13802
255	171	13802				255	13802
256	171	13802				256	13802
257	171	13802				257	13802
258	171	13802				258	13802
259	171	13802				259	13802
260	171	13802				260	13802
261	171	13802				261	13802
262	171	13802				262	13802
263	171	13802				263	13802
264	171	13802				264	13802
265	171	13802				265	13802
266	171	13802				266	13802
267	171	13802				267	13802
268	171	13802				268	13802
269	171	13802				269	13802
270	171	13802				270	13802
271	171	13802				271	13802
272	171	13802				272	13802
273	171	13802				273	13802
274	171	13802				274	13802
275	171	13802				275	13802
276	171	13802				276	13802
277	171	13802				277	13802
278	171	13802				278	13802
279	171	13802				279	13802
280	171	13802				280	13802
281	171	13802				281	13802
282	171	13802				282	13802
283	171	13802				283	13802
284	171	13802				284	13802
285	171	13802				285	13802
286	171	13802				286	13802
287	171	13802				287	13802
288	171	13802				288	13802
289	171	13802				289	13802
290	171	13802				290	13802
291	171	13802				291	13802
292	171	13802				292	13802
293	171	13802				293	13802
294	171	13802				294	13802
295	171	13802				295	13802
296	171	13802				296	13802
297	171	13802				297	13802
298	171	13802				298	13802
299	171	13802				299	13802
300	171	13802				300	13802
301	171	13802				301	13802
302	171	13802				302	13802
303	171	13802				303	13802
304	171	13802				304	13802
305	171	13802				305	13802
306	171	13802				306	13802
307	171	13802				307	13802
308	171	13802				308	13802
309	171	13802				309	13802
310	171	13802				310	13802
311	171	13802				311	13802
312	171	13802				312	13802
313	171	13802				313	13802
314	171	13802				314	13802
315	171	13802				315	13802
316	171	13802				316	13802
317	171	13802				317	13802
318	171	13802				318	13802
319	171	13802				319	13802
320	171	13802				320	13802
321	171	13802				321	13802
322	171	13802				322	13802
323	171	13802				323	13802
324	171	13802				324	13802
325	171	13802				325	13802
326	171	13802				326	13802
327	171	13802				327	13802
328	171	13802				328	13802
329	171	13802				329	13802
330	171	13802				330	13802
331	171	13802				331	13802
332	171	13802				332	13802
333	171	13802				333	13802
334	171	13802				334	13802
335	171	13802				335	13802
336	171	13802				336	13802
337	171	13802				337	13802
338	171	13802				338	13802
339	171	13802				339	13802
340	171	13802				340	13802
341	171	13802				341	13802
342	171	13802				342	13802
343	171	13802				343	13802
344	171	13802				344	13802
345	171	13802				345	13802
346	171	13802				346	13802
347	171	13802				347	13802
348	171	13802				348	13802
349	171	13802				349	13802
350	171	13802				350	13802
351	171	13802				351	13802
352	171	13802				352	13802
353	171	13802				353	13802
354	171	13802				354	13802
355	171	13802				355	13802
356	171	13802				356	13802
357	171	13802				357	13802
358	171	13802				358	13802
359	171	13802				359	13802
360	171	13802				360	13802
361	171	13802				361	13802
362	171	13530				362	13530
363	171	13802				363	13802
364	171	13802				364	13802
365	171	13802				365	13802
366	171	13802				366	13802
367	171	13802				367	13802
368	171	13802				368	13802
369	171	13802				369	13802
370	171	370				370	370
371	171	13802				371	13802
372	171	13802				372	13802
373	171	13802				373	13802
374	171	13802				374	13802
375	171	13802				375	13802
376	171	13802				376	13802
377	171	13802				377	13802
378	171	13802				378	13802
379	171	13802				379	13802
380	171	13802				380	13802
381	171	13802				381	13802
382	171	13802				382	13802
383	171	13802				383	13802
384	171	13802				384	13802
385	171	13802				385	13802
386	171	13802				386	13802
387	171	13802				387	13802
388	171	13802				388	13802
389	171	13802				389	13802
390	171	13802				390	13802
391	171	13802				391	13802
392	171	13802				392	13802
393	171	13802				393	13802
394	171	13802				394	13802
395	171	13802				395	13802
396	171	13802				396	13802
397	171	13802				397	13802
398	171	13802				398	13802
399	171	13802				399	13802
400	171	13802				400	13802
401	171	13802				401	13802
402	171	13802				402	13802
403	171	13802				403	13802
404	171	13802				404	13802
405	171	13802				405	13802
406	171	13802				406	13802
407	171	13802				407	13802
408	171	13802				408	13802
409	171	13802				409	13802
410	171	13802				410	13802
411	171	13802				411	13802
412	171	13802				412	13802
413	171	13802				413	13802
414	171	13802				414	13802
415	171	13802				415	13802
416	171	13802				416	13802
417	171	13802				417	13802
418	171	13802				418	13802
419	171	13802				419	13802
420	171	13802				420	13802
421	171	13802				421	13802
422	171	13802				422	13802
423	171	13802				423	13802
424	171	13802				424	13802
425	171	13802				425	13802
426	171	13802				426	13802
427	171	13802				427	13802
428	171	13802				428	13802
429	171	13802				429	13802
430	171	13802				430	13802
431	171	13802				431	13802
432	171	13802				432	13802
433	171	13802				433	13802
434	171	13802				434	13802
435	171	13802				435	13802
436	171	13802				436	13802
437	171	13802				437	13802
438	171	13802				438	13802
439	171	13802				439	13802
440	171	13802				440	13802
441	171	13802				441	13802
442	171	13802				442	13802
443	171	13802				443	13802
444	171	13802				444	13802
445	171	13802				445	13802
446	171	13802				446	13802
447	171	13802				447	13802
448	171	13802				448	13802
449	171	13802				449	13802
450	171	13802				450	13802
451	171	13802				451	13802
452	171	13802				452	13802
453	171	13802				453	13802
454	171	13802				454	13802
455	171	13802				455	13802
456	171	13802				456	13802
457	171	13802				457	13802
458	171	13802				458	13802
459	171	13802				459	13802
460	171	13802				460	13802
461	171	13802				461	13802
462	171	13802				462	13802
463	171	13802				463	13802
464	171	13802				464	13802
465	171	13802				465	13802
466	171	13802				466	13802
467	171	13802				467	13802
468	171	13802				468	13802
469	171	13802				469	13802
470	171	13802				470	13802
471	171	13802				471	13802
472	171	13802				472	13802
473	171	13802				473	13802
474	171	13802				474	13802
475	171	13802				475	13802
476	171	13802				476	13802
477	171	13802				477	13802
478	171	13802				478	13802
479	171	13802				479	13802
480	171	13802				480	13802
481	171	13802				481	13802
482	171	13802				482	13802
483	171	13802				483	13802
484	171	13802				484	13802
485	171	13802				485	13802
486	171	13802				486	13802
487	171	13802				487	13802
488	171	13802				488	13802
489	171	13802				489	13802
490	171	13802				490	13802
491	171	13802				491	13802
492	171	13802				492	13802
493	171	13802				493	13802
494	171	13802				494	13802
495	171	13802				495	13802
496	171	13802				496	13802
497	171	13802				497	13802
498	171	13802				498	13802
499	171	13802				499	13802
500	171	13802				500	13802
501	171	13802				501	13802
502	171	13802				502	13802
503	171	13802				503	13802
504	171	13802				504	13802
505	171	13802				505	13802
506	171	13802				506	13802
507	171	13802				507	13802
508	171	13802				508	13802
509	171	13802				509	13802
510	171	13802				510	13802
511	171	13802				511	13802
512	171	13802				512	13802
513	171	13802				513	13802
514	171	13802				514	13802
515	171	13802				515	13802
516	171	13802				516	13802
517	171	13802				517	13802
